Timestamp,PacketID,RSSI_dBm,Corrente_A,Comando_Pct,TensaoTotal_V,Celulas_N,C1,C2,C3,C4,C5,C6,Corrente_Med_A,Corrente_Min_A,LoopMs,PwmIdleMs
2026-06-01T22_21_03,23194,-42,1.54,0,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.15,-1.60,18,11
2026-06-01T22_21_03,23195,-44,1.79,0,16.40,4,4.028,4.155,4.106,4.107,0.000,0.000,-0.11,-1.22,19,1
2026-06-01T22_21_03,23196,-44,1.16,0,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.16,-1.35,19,11
2026-06-01T22_21_03,23197,-44,0.91,0,16.40,4,4.028,4.155,4.106,4.107,0.000,0.000,-0.17,-1.47,19,1
2026-06-01T22_21_03,23198,-44,1.54,0,16.40,4,4.028,4.155,4.107,4.106,0.000,0.000,-0.14,-1.22,19,11
2026-06-01T22_21_03,23199,-46,1.16,0,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.09,-1.47,19,1
2026-06-01T22_21_03,23200,-46,1.29,0,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.11,-1.10,19,11
2026-06-01T22_21_03,23201,-43,1.29,0,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.12,-1.22,19,0
2026-06-01T22_21_03,23202,-43,1.29,0,16.40,4,4.028,4.155,4.107,4.106,0.000,0.000,-0.14,-1.35,19,10
2026-06-01T22_21_03,23203,-42,1.16,3,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.24,-1.35,19,0
2026-06-01T22_21_03,23204,-42,1.16,0,16.40,4,4.028,4.156,4.106,4.106,0.000,0.000,-0.13,-1.35,19,10
2026-06-01T22_21_03,23205,-43,1.29,0,16.40,4,4.028,4.155,4.106,4.107,0.000,0.000,-0.17,-1.47,19,0
2026-06-01T22_21_03,23206,-43,1.54,0,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.18,-1.22,19,10
2026-06-01T22_21_03,23207,-44,1.54,0,16.40,4,4.028,4.155,4.106,4.107,0.000,0.000,-0.17,-1.22,19,0
2026-06-01T22_21_04,23208,-44,1.04,0,16.40,4,4.028,4.155,4.107,4.107,0.000,0.000,-0.17,-1.60,19,10
2026-06-01T22_21_04,23209,-45,1.04,3,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.09,-1.47,19,0
