Timestamp,PacketID,RSSI_dBm,Corrente_A,Comando_Pct,TensaoTotal_V,Celulas_N,C1,C2,C3,C4,C5,C6,Corrente_Med_A,Corrente_Min_A,LoopMs,PwmIdleMs
2026-06-01T22_42_30,13875,-50,1.16,0,17.24,4,4.272,4.344,4.319,4.303,0.000,0.000,-0.20,-1.35,19,6
2026-06-01T22_42_30,13876,-55,1.04,0,17.24,4,4.271,4.345,4.319,4.303,0.000,0.000,-0.28,-1.35,19,16
2026-06-01T22_42_30,13877,-55,1.16,0,17.24,4,4.272,4.344,4.320,4.303,0.000,0.000,-0.22,-1.22,19,5
2026-06-01T22_42_30,13878,-55,1.67,0,17.24,4,4.272,4.344,4.319,4.303,0.000,0.000,-0.18,-1.35,19,15
2026-06-01T22_42_30,13879,-49,1.54,0,17.24,4,4.272,4.344,4.320,4.303,0.000,0.000,-0.23,-1.60,19,5
2026-06-01T22_42_30,13880,-49,1.16,0,17.24,4,4.272,4.344,4.320,4.303,0.000,0.000,-0.13,-1.22,19,15
2026-06-01T22_42_30,13881,-48,1.67,0,17.24,4,4.272,4.344,4.320,4.302,0.000,0.000,-0.16,-1.47,19,5
2026-06-01T22_42_30,13882,-48,1.04,0,17.24,4,4.272,4.344,4.319,4.303,0.000,0.000,-0.22,-1.47,19,15
2026-06-01T22_42_30,13883,-48,1.04,0,17.24,4,4.272,4.344,4.320,4.303,0.000,0.000,-0.26,-1.22,19,5
2026-06-01T22_42_30,13884,-48,1.42,0,17.24,4,4.272,4.345,4.319,4.303,0.000,0.000,-0.26,-1.35,19,15
2026-06-01T22_42_30,13885,-52,1.29,0,17.24,4,4.272,4.344,4.319,4.304,0.000,0.000,-0.20,-1.22,19,4
2026-06-01T22_42_30,13886,-52,0.79,0,17.24,4,4.272,4.344,4.319,4.303,0.000,0.000,-0.23,-1.47,19,14
2026-06-01T22_42_30,13887,-53,1.67,0,17.24,4,4.272,4.344,4.319,4.303,0.000,0.000,-0.33,-1.47,19,4
2026-06-01T22_42_31,13888,-53,1.16,0,17.24,4,4.272,4.344,4.319,4.303,0.000,0.000,-0.20,-1.35,19,14
2026-06-01T22_42_31,13889,-53,1.67,0,17.24,4,4.272,4.344,4.319,4.303,0.000,0.000,-0.25,-1.35,19,4
2026-06-01T22_42_31,13890,-53,1.16,0,17.24,4,4.272,4.344,4.320,4.302,0.000,0.000,-0.30,-1.35,19,14
2026-06-01T22_42_31,13891,-48,1.29,0,17.24,4,4.272,4.344,4.319,4.303,0.000,0.000,-0.19,-1.22,19,4
2026-06-01T22_42_31,13892,-48,1.04,0,17.24,4,4.272,4.344,4.320,4.303,0.000,0.000,-0.22,-1.22,19,14
2026-06-01T22_42_31,13893,-43,1.54,0,17.24,4,4.272,4.344,4.320,4.303,0.000,0.000,-0.23,-1.22,19,3
2026-06-01T22_42_31,13894,-43,1.04,0,17.24,4,4.272,4.344,4.320,4.303,0.000,0.000,-0.25,-1.35,19,13
2026-06-01T22_42_31,13895,-46,2.17,0,17.24,4,4.272,4.344,4.320,4.304,0.000,0.000,-0.12,-1.22,19,3
2026-06-01T22_42_31,13896,-46,0.91,0,17.24,4,4.272,4.344,4.320,4.302,0.000,0.000,-0.27,-1.47,19,13
2026-06-01T22_42_31,13897,-45,1.16,0,17.24,4,4.272,4.344,4.319,4.303,0.000,0.000,-0.25,-1.60,19,3
2026-06-01T22_42_31,13898,-45,1.29,0,17.24,4,4.272,4.344,4.319,4.303,0.000,0.000,-0.19,-1.47,19,13
2026-06-01T22_42_31,13899,-45,1.29,0,17.24,4,4.272,4.344,4.319,4.303,0.000,0.000,-0.21,-1.22,19,3
2026-06-01T22_42_31,13900,-45,1.67,0,17.24,4,4.272,4.344,4.320,4.304,0.000,0.000,-0.25,-2.60,19,13
